iter	Logloss
0	0.6692358459
1	0.6468278004
2	0.6249411621
3	0.6042033215
4	0.5835566227
5	0.5647349045
6	0.5468397435
7	0.5303157755
8	0.5137359667
9	0.4988865312
10	0.4846514527
11	0.4708754933
12	0.4586436484
13	0.4465819147
14	0.4361022915
15	0.4247500748
16	0.4129082641
17	0.4025096702
18	0.3932084712
19	0.3841749491
20	0.3760210137
21	0.3677546006
22	0.3600105748
23	0.3530126625
24	0.3461863364
25	0.3395927664
26	0.3331751978
27	0.3272881157
28	0.3212449497
29	0.3158893632
30	0.3107704624
31	0.306034169
32	0.3015126417
33	0.2970682777
34	0.293110539
35	0.2893067229
36	0.2855214363
37	0.281985
38	0.2785704205
39	0.2752561413
40	0.2719859744
41	0.2688566461
42	0.266153172
43	0.2635407833
44	0.2609741973
45	0.2586842076
46	0.2563221916
47	0.2543267689
48	0.2522236748
49	0.2496905222
50	0.2476405758
51	0.2457753651
52	0.2440155796
53	0.2422706662
54	0.2401071514
55	0.2386129623
56	0.2371842931
57	0.2358015276
58	0.2344001366
59	0.2332992455
60	0.2320678276
61	0.2304965374
62	0.2291925271
63	0.2278825798
64	0.226706474
65	0.2254466839
66	0.2243300737
67	0.2232383345
68	0.2224438551
69	0.2214674656
70	0.2205871858
71	0.2193121988
72	0.2181108173
73	0.2169944227
74	0.2162059772
75	0.2150869066
76	0.2143687595
77	0.213662152
78	0.2130308037
79	0.2122950651
80	0.2116508148
81	0.2109558182
82	0.2102970617
83	0.2096753346
84	0.2090179585
85	0.2085665427
86	0.2078595394
87	0.2073318637
88	0.2067813949
89	0.2062793176
90	0.2055358981
91	0.2048787765
92	0.2043927862
93	0.2039723542
94	0.203598481
95	0.2032148449
96	0.2028749578
97	0.2024758434
98	0.2020901265
99	0.2014490378
100	0.2011097685
101	0.2008005813
102	0.2004847979
103	0.20012533
104	0.1994543731
105	0.1991853117
106	0.1988897479
107	0.1986011705
108	0.1983062037
109	0.1981045223
110	0.1977683014
111	0.1974999364
112	0.1972130888
113	0.1969853806
114	0.1965386284
115	0.196314271
116	0.1960481434
117	0.1957696575
118	0.1955449819
119	0.1953480425
120	0.1951834567
121	0.1947840276
122	0.1944061154
123	0.1942018758
124	0.1939987717
125	0.1936148578
126	0.1934484446
127	0.1930681719
128	0.1928326998
129	0.1926470498
130	0.1924305496
131	0.1922316684
132	0.1920484142
133	0.1918996798
134	0.1915550596
135	0.1912256983
136	0.1911021703
137	0.1909637155
138	0.1908196323
139	0.1906778435
140	0.1905252909
141	0.1903809492
142	0.1902482066
143	0.1901225114
144	0.1899946333
145	0.1898493894
146	0.1897366631
147	0.1896047925
148	0.1893404626
149	0.189194
150	0.1890885291
151	0.1889681604
152	0.1888513709
153	0.1887262206
154	0.1886076125
155	0.1883586364
156	0.1882579406
157	0.1881231127
158	0.1880181718
159	0.1879261905
160	0.1877770016
161	0.1876543892
162	0.1875519111
163	0.1873332699
164	0.1872253965
165	0.1871227537
166	0.1870206378
167	0.186781443
168	0.186668063
169	0.1865676379
170	0.1863480025
171	0.1862742557
172	0.1861710475
173	0.185954422
174	0.1858702518
175	0.1857594773
176	0.1855381475
177	0.1854594853
178	0.1853921186
179	0.1853280827
180	0.1852018333
181	0.1851078623
182	0.1850474345
183	0.1849543869
184	0.1848341192
185	0.1846287535
186	0.1845352125
187	0.1844501776
188	0.1842615538
189	0.184078125
190	0.1840071515
191	0.1839112163
192	0.1837287712
193	0.1836456015
194	0.1835629071
195	0.1834228359
196	0.183234288
197	0.1831720608
198	0.1831183794
199	0.1830531439
200	0.1829773829
201	0.1829137423
202	0.1828139219
203	0.1827113852
204	0.1825441394
205	0.1824489672
206	0.1823622343
207	0.1822359852
208	0.182176381
209	0.1820399406
210	0.1819443577
211	0.1818058695
212	0.1817461052
213	0.181590303
214	0.181503734
215	0.1814245995
216	0.1812887662
217	0.1812551958
218	0.1811872648
219	0.1810656436
220	0.1810140968
221	0.1809381633
222	0.1809313409
223	0.180862173
224	0.1808197863
225	0.1807122776
226	0.180668718
227	0.1805943001
228	0.1805222492
229	0.1804424524
230	0.1803773117
231	0.1803016026
232	0.1802387622
233	0.1801854586
234	0.1801482798
235	0.180073711
236	0.1799699316
237	0.1799230977
238	0.1798120351
239	0.1797506145
240	0.1796347703
241	0.1795900005
242	0.1795600898
243	0.1794991174
244	0.1794508497
245	0.1793494199
246	0.1793064749
247	0.1792443334
248	0.1791985693
249	0.179148389
250	0.1791133499
251	0.1790952998
252	0.1790316786
253	0.178962586
254	0.1789179045
255	0.1788995966
256	0.1788332779
257	0.1788068708
258	0.1787345623
259	0.178665255
260	0.1786206887
261	0.1785278241
262	0.1784124454
263	0.1783492731
264	0.1783009291
265	0.1782358813
266	0.1781470204
267	0.1780966887
268	0.1780071169
269	0.17797004
270	0.1778669926
271	0.1778311638
272	0.1777616122
273	0.1777103774
274	0.1776900599
275	0.1776586872
276	0.1776363494
277	0.1775524672
278	0.177458994
279	0.1774174907
280	0.1773417702
281	0.177295246
282	0.1772579819
283	0.1772364069
284	0.1771913483
285	0.1771475792
286	0.1771400903
287	0.1770352411
288	0.1769873198
289	0.1769818614
290	0.1769336069
291	0.1768843684
292	0.1768600529
293	0.1768112125
294	0.1767641741
295	0.1767192545
296	0.1766976941
297	0.1766640597
298	0.1765893495
299	0.176521583
300	0.176474732
301	0.1764306934
302	0.1763943838
303	0.1763724851
304	0.1763010053
305	0.1762689085
306	0.1762434203
307	0.1761913418
308	0.1761497681
309	0.1761260812
310	0.1760883412
311	0.1760618552
312	0.1760288474
313	0.1759857174
314	0.1759429467
315	0.1759022359
316	0.1758525826
317	0.1757905152
318	0.1757540059
319	0.175717668
320	0.175651984
321	0.175610128
322	0.1755316991
323	0.1754934966
324	0.175446491
325	0.1754189431
326	0.1753743755
327	0.1753586948
328	0.1753260198
329	0.1753122996
330	0.1752746044
331	0.1752096999
332	0.1751798548
333	0.1751563488
334	0.1751348468
335	0.1750768722
336	0.1750424499
337	0.1749655402
338	0.1749436442
339	0.1749057303
340	0.1748795524
341	0.1748422733
342	0.1748163315
343	0.1747519723
344	0.1746941099
345	0.1746487556
346	0.1746012348
347	0.1745604587
348	0.1744794379
349	0.1744593695
350	0.174429287
351	0.1744001934
352	0.1743724347
353	0.1743710645
354	0.1743269536
355	0.1742902737
356	0.174214467
357	0.1741254927
358	0.1740951804
359	0.174050691
360	0.1740108113
361	0.1740056286
362	0.1739709849
363	0.1739256055
364	0.1738941967
365	0.173837353
366	0.173812749
367	0.1737630672
368	0.1737216281
369	0.173696603
370	0.1736260777
371	0.1735637444
372	0.1735105216
373	0.1734470208
374	0.1734002444
375	0.1733853994
376	0.1733632149
377	0.1733607471
378	0.1733105727
379	0.1732427178
380	0.1732002707
381	0.1731832444
382	0.173171202
383	0.1731275957
384	0.1730787288
385	0.1730683461
386	0.1730294725
387	0.1729741584
388	0.1729585639
389	0.172935253
390	0.1728921209
391	0.1728515609
392	0.1728269449
393	0.1727696222
394	0.1727477617
395	0.1727247612
396	0.1727003653
397	0.1726513389
398	0.1726142849
399	0.1726139308
400	0.1725953192
401	0.1725391746
