iter	Passed	Remaining
0	56	113249
1	115	115864
2	157	105123
3	203	101592
4	221	88440
5	273	90947
6	327	93367
7	370	92141
8	417	92299
9	458	91298
10	503	90985
11	546	90495
12	587	89783
13	632	89773
14	674	89267
15	721	89432
16	737	85969
17	781	85998
18	838	87378
19	888	87961
20	970	91456
21	1046	94068
22	1101	94706
23	1145	94328
24	1186	93764
25	1232	93576
26	1279	93499
27	1329	93617
28	1355	92119
29	1402	92092
30	1452	92250
31	1499	92207
32	1544	92043
33	1587	91769
34	1633	91726
35	1678	91561
36	1724	91473
37	1767	91239
38	1811	91108
39	1854	90876
40	1897	90676
41	1945	90705
42	1987	90445
43	2033	90410
44	2078	90296
45	2126	90326
46	2169	90138
47	2215	90095
48	2263	90112
49	2309	90087
50	2354	89977
51	2397	89819
52	2442	89739
53	2484	89544
54	2532	89562
55	2576	89451
56	2624	89458
57	2667	89331
58	2713	89258
59	2758	89187
60	2801	89063
61	2848	89052
62	2894	88998
63	2943	89039
64	2985	88881
65	3032	88849
66	3078	88809
67	3124	88782
68	3173	88800
69	3217	88701
70	3265	88727
71	3311	88665
72	3358	88664
73	3401	88528
74	3448	88505
75	3495	88496
76	3545	88535
77	3590	88470
78	3637	88457
79	3680	88341
80	3727	88305
81	3775	88309
82	3818	88193
83	3870	88283
84	3913	88165
85	3961	88166
86	4008	88130
87	4058	88173
88	4108	88211
89	4158	88244
90	4202	88150
91	4248	88113
92	4293	88033
93	4343	88076
94	4389	88028
95	4437	88017
96	4480	87905
97	4525	87831
98	4567	87710
99	4608	87569
100	4652	87483
101	4693	87341
102	4738	87265
103	4785	87245
104	4827	87119
105	4873	87086
106	4922	87089
107	4971	87095
108	5015	87013
109	5059	86938
110	5104	86862
111	5148	86785
112	5189	86656
113	5230	86528
114	5273	86446
115	5316	86350
116	5360	86277
117	5405	86212
118	5454	86213
119	5496	86107
120	5511	85589
121	5557	85544
122	5598	85440
123	5643	85386
124	5679	85191
125	5723	85125
126	5770	85099
127	5811	84989
128	5857	84954
129	5899	84866
130	5944	84807
131	5987	84728
132	6029	84641
133	6074	84586
134	6117	84511
135	6160	84437
136	6204	84378
137	6252	84361
138	6298	84323
139	6342	84260
140	6385	84190
141	6428	84114
142	6473	84067
143	6518	84011
144	6563	83963
145	6606	83892
146	6653	83866
147	6698	83818
148	6744	83786
149	6788	83722
150	6832	83664
151	6877	83621
152	6921	83554
153	6969	83540
154	7013	83483
155	7060	83462
156	7105	83406
157	7141	83252
158	7160	82906
159	7204	82854
160	7251	82824
161	7298	82807
162	7342	82748
163	7394	82782
164	7437	82719
165	7483	82674
166	7529	82645
167	7573	82583
168	7617	82525
169	7664	82507
170	7709	82464
171	7753	82406
172	7851	82917
173	7897	82876
174	7939	82797
175	7985	82759
176	8031	82716
177	8076	82670
178	8119	82603
179	8167	82585
180	8218	82598
181	8268	82591
182	8305	82468
183	8353	82443
184	8403	82448
185	8501	82913
186	8545	82846
187	8586	82760
188	8628	82682
189	8670	82594
190	8713	82529
191	8753	82432
192	8800	82395
193	8844	82332
194	8888	82274
195	8928	82182
196	8950	81914
197	8994	81859
198	9035	81771
199	9089	81809
200	9161	81999
201	9203	81916
202	9247	81864
203	9295	81840
204	9336	81755
205	9382	81707
206	9425	81642
207	9467	81566
208	9510	81502
209	9551	81414
210	9598	81378
211	9640	81307
212	9683	81245
213	9728	81193
214	9773	81141
215	9818	81094
216	9862	81035
217	9881	80772
218	9932	80777
219	9980	80747
220	10027	80720
221	10071	80660
222	10083	80351
223	10127	80299
224	10169	80223
225	10216	80191
226	10260	80136
227	10306	80101
228	10351	80052
229	10398	80020
230	10442	79966
231	10483	79894
232	10530	79858
233	10574	79809
234	10618	79748
235	10663	79706
236	10712	79690
237	10755	79626
238	10798	79568
239	10843	79520
240	10887	79464
241	10935	79440
242	10976	79367
243	11023	79329
244	11065	79265
245	11111	79223
246	11136	79039
247	11179	78980
248	11227	78952
249	11273	78912
250	11317	78861
251	11329	78586
252	11374	78541
253	11417	78480
254	11459	78419
255	11477	78189
256	11522	78150
257	11540	77919
258	11585	77876
259	11636	77875
260	11680	77824
261	11726	77791
262	11772	77751
263	11816	77699
264	11860	77653
265	11907	77622
266	11953	77583
267	12000	77558
268	12043	77499
269	12087	77450
270	12132	77406
271	12176	77358
