iter	Passed	Remaining
0	63	63543
1	66	33326
2	71	23680
3	73	18372
4	76	15174
5	78	12946
6	80	11449
7	84	10515
8	86	9548
9	89	8889
10	91	8267
11	94	7740
12	97	7379
13	101	7129
14	103	6793
15	107	6639
16	114	6648
17	119	6518
18	123	6385
19	126	6214
20	128	6002
21	132	5911
22	134	5714
23	137	5590
24	141	5502
25	143	5388
26	148	5348
27	151	5265
28	162	5427
29	165	5365
30	169	5312
31	175	5299
32	180	5282
33	183	5223
34	186	5143
35	188	5052
36	190	4970
37	192	4874
38	194	4803
39	197	4748
40	199	4664
41	203	4639
42	207	4623
43	209	4550
44	212	4509
45	215	4473
46	220	4468
47	222	4414
48	225	4379
49	228	4341
50	231	4305
51	234	4271
52	236	4225
53	238	4179
54	240	4130
55	242	4089
56	244	4037
57	247	4012
58	250	3996
59	252	3960
60	254	3923
61	257	3897
62	259	3857
63	262	3834
64	264	3802
65	268	3795
66	270	3763
67	272	3736
68	274	3704
69	276	3672
70	279	3654
71	282	3637
72	284	3610
73	287	3594
74	289	3574
75	292	3556
76	294	3530
77	297	3515
78	301	3518
79	305	3510
80	308	3499
81	311	3483
82	313	3461
83	316	3449
84	320	3450
85	324	3448
86	328	3442
87	331	3432
88	335	3436
89	338	3425
90	342	3417
91	345	3410
92	350	3420
93	355	3427
94	359	3423
95	363	3424
96	366	3413
97	370	3409
98	373	3398
99	376	3385
100	379	3374
101	383	3379
102	388	3387
103	392	3383
104	398	3398
105	404	3412
106	407	3403
107	413	3413
108	419	3427
109	422	3420
110	428	3435
111	436	3457
112	440	3460
113	446	3469
114	452	3481
115	455	3470
116	457	3449
117	464	3473
118	468	3465
119	471	3457
120	477	3469
121	486	3501
122	492	3512
123	499	3530
124	503	3526
125	511	3549
126	517	3556
127	520	3545
128	524	3544
129	533	3570
130	538	3572
131	549	3616
132	554	3616
133	564	3647
134	568	3645
135	574	3648
136	584	3679
137	588	3675
138	601	3722
139	607	3734
140	614	3742
141	617	3732
142	622	3730
143	626	3725
144	632	3731
145	635	3719
146	640	3718
147	646	3722
148	650	3715
149	655	3715
150	662	3726
151	666	3717
152	672	3725
153	681	3741
154	684	3729
155	688	3724
156	695	3734
157	699	3725
158	702	3714
159	709	3724
160	712	3714
161	715	3702
162	719	3697
163	725	3698
164	732	3706
165	741	3723
166	747	3727
167	755	3743
168	760	3738
169	763	3725
170	766	3714
171	770	3708
172	776	3712
173	779	3700
174	782	3690
175	790	3702
176	793	3691
177	796	3679
178	804	3691
179	808	3683
180	812	3675
181	825	3710
182	833	3722
183	843	3741
184	850	3747
185	858	3757
186	863	3752
187	871	3765
188	877	3766
189	887	3784
190	893	3783
191	902	3798
192	908	3796
193	922	3831
194	926	3825
195	942	3865
196	957	3902
197	967	3917
198	975	3925
199	984	3938
200	989	3934
201	998	3944
202	1005	3949
203	1012	3952
204	1020	3957
205	1028	3963
206	1036	3971
207	1041	3965
208	1051	3979
209	1055	3969
210	1062	3973
211	1070	3979
212	1077	3980
213	1084	3982
214	1086	3967
